Bus_Number,Real,Imaginary,Magnitude,Angle
1,1,0,1,0
2,0.997032227883128,0.000251998261621703,0.997032259729201,0.0144814140649813
3,0.982936602472895,0.00164764097518871,0.982937983395566,0.0960415812945663
4,0.97545253089921,0.002752100316051,0.97545641322092,0.161651448453797
5,0.968051548446686,0.00385705842842741,0.96805923235603,0.22828536375272
6,0.949655585904185,0.0022185705614916,0.949658177395613,0.133853262550313
7,0.946171272236388,-0.00159315481045575,0.946172613505419,-0.0964740350541816
8,0.941327914119522,-0.000992378183183901,0.941328437217887,-0.0604030324183013
9,0.93505683456782,-0.00217844668515691,0.935059372180158,-0.133484479785898
10,0.929238984725223,-0.00317902279556477,0.929244422592408,-0.196014030359368
11,0.928379378944442,-0.00305855889110903,0.928384417163363,-0.188761066665518
12,0.926880400500949,-0.0028677094882133,0.926884836746459,-0.17726896175936
13,0.920761630724136,-0.00431630348122998,0.920771747551755,-0.268586518839407
14,0.918488122065388,-0.00556698891474327,0.918504992768564,-0.347267488807116
15,0.917071981299981,-0.00616157767423475,0.917092680117396,-0.384950244984438
16,0.915701519639234,-0.00652404417402296,0.915724760079134,-0.408204926979187
17,0.913664747575579,-0.00774176278624958,0.913697546157034,-0.48547316683984
18,0.913056394908341,-0.00788943703758381,0.913090479361047,-0.495062734599446
19,0.99650389363165,6.34973784885571e-05,0.996503895654681,0.00365089571236537
20,0.992925693034056,-0.00109745795627662,0.992926299531404,-0.0633276829509593
21,0.992220762600581,-0.00143190979829981,0.992221795820546,-0.0826855617454165
22,0.991582773582413,-0.00178313290441551,0.991584376857737,-0.103033132814345
23,0.97935162556715,0.00111240639319006,0.979352257335941,0.0650799593924467
24,0.972681018079254,-0.000401560591029626,0.972681100969173,-0.0236539269812162
25,0.969355442659424,-0.0011395346368649,0.969356112454363,-0.0673545454558808
26,0.947724574485654,0.00286670821213484,0.947728910131999,0.173309614558188
27,0.945157584431709,0.0037852701499308,0.945165164232628,0.229463158268181
28,0.933711700885331,0.00509117688550526,0.933725580913502,0.312409127129071
29,0.925486003405487,0.00630476006489386,0.925507478359272,0.390314443704601
30,0.921915569971592,0.00797440006398299,0.921950057873216,0.495585591825877
31,0.917765253766237,0.00658636781583883,0.917788887087663,0.41117769309266
32,0.91685242804626,0.0062110669779589,0.916873465734136,0.388134959986058
33,0.916569620301317,0.00608548925379678,0.91658982213352,0.380405066394229
