Element, Terminal, P(kW), Q(kvar),  P_Normal, Q_Normal, P_Emergency, Q_Emergency
"Transformer.SUB"       ,   1,      3567.2,      1736.6,         0.0,         0.0,         0.0,         0.0
"Transformer.SUB"       ,   2,     -3567.2,     -1736.3
"Transformer.REG1"      ,   1,      1252.0,       685.0,         0.0,         0.0,         0.0,         0.0
"Transformer.REG1"      ,   2,     -1251.9,      -684.9
"Transformer.REG2"      ,   1,       972.9,       379.2,         0.0,         0.0,         0.0,         0.0
"Transformer.REG2"      ,   2,      -972.8,      -379.1
"Transformer.REG3"      ,   1,      1342.3,       672.2,         0.0,         0.0,         0.0,         0.0
"Transformer.REG3"      ,   2,     -1342.2,      -672.0
"Transformer.XFM1"      ,   1,       405.6,       300.1,        27.6,        20.4,         0.0,         0.0
"Transformer.XFM1"      ,   2,      -400.0,      -290.0
"Capacitor.CAP1"        ,   1,        -0.0,      -593.5,         0.0,         0.0,         0.0,         0.0
"Capacitor.CAP1"        ,   2,         0.0,         0.0
"Capacitor.CAP2"        ,   1,         0.0,       -92.5,         0.0,         0.0,         0.0,         0.0
"Capacitor.CAP2"        ,   2,         0.0,         0.0
"Line.650632"           ,   1,      3566.9,      1736.0,      1156.0,       562.6,         0.0,         0.0
"Line.650632"           ,   2,     -3506.1,     -1540.0
"Line.632670"           ,   1,      2691.9,       976.4,       457.6,       166.0,         0.0,         0.0
"Line.632670"           ,   2,     -2678.9,      -934.9
"Line.670671"           ,   1,      2478.9,       818.9,       386.1,       127.5,         0.0,         0.0
"Line.670671"           ,   2,     -2456.1,      -746.5
"Line.671680"           ,   1,         0.0,        -0.0,         0.0,         0.0,         0.0,         0.0
"Line.671680"           ,   2,         0.0,         0.0
"Line.632633"           ,   1,       406.4,       301.2,         0.0,         0.0,         0.0,         0.0
"Line.632633"           ,   2,      -405.6,      -300.1
"Line.632645"           ,   1,       407.9,       262.4,         0.0,         0.0,         0.0,         0.0
"Line.632645"           ,   2,      -405.1,      -260.0
"Line.645646"           ,   1,       235.1,       135.0,         0.0,         0.0,         0.0,         0.0
"Line.645646"           ,   2,      -234.6,      -134.6
"Line.692675"           ,   1,       847.2,      -129.0,         0.0,         0.0,         0.0,         0.0
"Line.692675"           ,   2,      -843.1,       131.5
"Line.671684"           ,   1,       287.2,        67.5,         0.0,         0.0,         0.0,         0.0
"Line.671684"           ,   2,      -286.6,       -67.0
"Line.684611"           ,   1,       163.9,       -15.1,         0.0,         0.0,         0.0,         0.0
"Line.684611"           ,   2,      -163.5,        15.5
"Line.684652"           ,   1,       122.7,        82.2,         0.0,         0.0,         0.0,         0.0
"Line.684652"           ,   2,      -121.9,       -81.9
"Line.671692"           ,   1,      1013.9,        19.0,         0.0,         0.0,         0.0,         0.0
"Line.671692"           ,   2,     -1013.9,       -19.0
"Load.671"              ,   1,      1155.0,       660.0
"Load.634A"             ,   1,       160.0,       110.0
"Load.634B"             ,   1,       120.0,        90.0
"Load.634C"             ,   1,       120.0,        90.0
"Load.645"              ,   1,       170.0,       125.0
"Load.646"              ,   1,       234.6,       134.6
"Load.692"              ,   1,       166.7,       148.1
"Load.675A"             ,   1,       485.0,       190.0
"Load.675B"             ,   1,        68.0,        60.0
"Load.675C"             ,   1,       290.0,       212.0
"Load.611"              ,   1,       163.5,        76.9
"Load.652"              ,   1,       121.9,        81.9
"Load.670A"             ,   1,        17.0,        10.0
"Load.670B"             ,   1,        66.0,        38.0
"Load.670C"             ,   1,       117.0,        68.0
