Element, NumTerminals, NumConductors, NumPhases, kW1, kvar1, kW2, kvar2, kW3, kvar3, ... 
"Transformer.SUB", 2, 4, 3,   1024.133,    612.772,   1242.223,    419.085,   1300.856,    704.720,      0.000,      0.000,  -1252.008,   -684.991,   -972.853,   -379.165,  -1342.318,   -672.158,      0.000,      0.000
"Transformer.REG1", 2, 2, 1,   1252.008,    684.991,      0.000,      0.000,  -1251.886,   -684.867,      0.000,      0.000
"Transformer.REG2", 2, 2, 1,    972.853,    379.165,      0.000,      0.000,   -972.788,   -379.098,      0.000,      0.000
"Transformer.REG3", 2, 2, 1,   1342.318,    672.158,      0.000,      0.000,  -1342.183,   -672.021,      0.000,      0.000
"Transformer.XFM1", 2, 4, 3,    162.561,    114.648,    121.457,     92.653,    121.550,     92.807,      0.000,      0.000,   -160.007,   -110.005,   -119.997,    -89.998,   -120.011,    -90.009,      0.000,      0.000
"Capacitor.CAP1", 2, 3, 3,      0.000,   -190.621,      0.000,   -217.417,      0.000,   -185.451,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
"Capacitor.CAP2", 2, 1, 1,      0.000,    -92.456,      0.000,      0.000
"Line.650632", 2, 3, 3,   1251.886,    684.867,    972.788,    379.098,   1342.183,    672.021,  -1230.186,   -604.401,   -975.885,   -346.438,  -1300.050,   -589.137
"Line.632670", 2, 3, 3,   1067.268,    489.223,    524.052,    125.534,   1100.546,    361.615,  -1064.103,   -467.101,   -526.008,   -123.933,  -1088.765,   -343.844
"Line.670671", 2, 3, 3,   1047.103,    457.101,    460.010,     85.934,    971.754,    275.838,  -1039.365,   -412.881,   -464.376,    -83.254,   -952.398,   -250.405
"Line.671680", 2, 3, 3,      0.000,     -0.001,      0.000,     -0.001,      0.000,     -0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
"Line.632633", 2, 3, 3,    162.919,    115.178,    121.610,     92.924,    121.864,     93.062,   -162.561,   -114.648,   -121.457,    -92.653,   -121.550,    -92.807
"Line.632645", 2, 2, 2,     77.640,    134.461,    330.223,    127.980,    -77.431,   -134.240,   -327.664,   -125.800
"Line.645646", 2, 2, 2,     77.431,    134.240,    157.668,      0.803,    -77.167,   -134.029,   -157.404,     -0.594
"Line.692675", 2, 3, 3,    488.264,      1.432,     68.330,   -156.939,    290.629,     26.474,   -485.025,      0.610,    -67.997,    157.420,   -290.039,    -26.578
"Line.671684", 2, 2, 2,    122.950,     82.372,    164.227,    -14.880,   -122.743,    -82.162,   -163.855,     15.140
"Line.684611", 2, 1, 1,    163.855,    -15.140,   -163.473,     15.528
"Line.684652", 2, 1, 1,    122.743,     82.162,   -121.943,    -81.931
"Line.671692", 2, 3, 3,    531.044,    123.157,     68.330,   -156.939,    414.533,     52.804,   -531.044,   -123.157,    -68.330,    156.939,   -414.533,    -52.804
"Load.671", 1, 3, 3,    385.355,    207.350,    396.039,    240.198,    373.620,    212.490
"Load.634A", 1, 2, 1,    160.000,    110.007,      0.000,      0.000
"Load.634B", 1, 2, 1,    119.999,     89.998,      0.000,      0.000
"Load.634C", 1, 2, 1,    120.004,     90.007,      0.000,      0.000
"Load.645", 1, 2, 1,    169.999,    124.997,      0.000,      0.000
"Load.646", 1, 2, 1,    157.403,      0.597,     77.165,    134.030
"Load.692", 1, 2, 1,    123.899,     26.332,     42.775,    121.721
"Load.675A", 1, 2, 1,    485.004,    190.028,      0.000,      0.000
"Load.675B", 1, 2, 1,     67.999,     59.998,      0.000,      0.000
"Load.675C", 1, 2, 1,    290.015,    212.023,      0.000,      0.000
"Load.611", 1, 2, 1,    163.460,     76.928,      0.000,      0.000
"Load.652", 1, 2, 1,    121.937,     81.935,      0.000,      0.000
"Load.670A", 1, 2, 1,     17.000,     10.001,      0.000,      0.000
"Load.670B", 1, 2, 1,     65.999,     37.999,      0.000,      0.000
"Load.670C", 1, 2, 1,    117.004,     68.005,      0.000,      0.000
