1	2	0.0922	0.047	12.66
2	3	0.493	0.2511	12.66
3	4	0.366	0.1864	12.66
4	5	0.3811	0.1941	12.66
5	6	0.819	0.707	12.66
6	7	0.1872	0.6188	12.66
7	8	0.7114	0.2351	12.66
8	9	1.03	0.74	12.66
9	10	1.044	0.74	12.66
10	11	0.1966	0.065	12.66
11	12	0.3744	0.1238	12.66
12	13	1.468	1.155	12.66
13	14	0.5416	0.7129	12.66
14	15	0.591	0.526	12.66
15	16	0.7463	0.545	12.66
16	17	1.289	1.721	12.66
17	18	0.732	0.574	12.66
2	19	0.164	0.1565	12.66
19	20	1.5042	1.3554	12.66
20	21	0.4095	0.4784	12.66
21	22	0.7089	0.9373	12.66
3	23	0.4512	0.3083	12.66
23	24	0.898	0.7091	12.66
24	25	0.896	0.7011	12.66
6	26	0.203	0.1034	12.66
26	27	0.2842	0.1447	12.66
27	28	1.059	0.9337	12.66
28	29	0.8042	0.7006	12.66
29	30	0.5075	0.2585	12.66
30	31	0.9744	0.963	12.66
31	32	0.3105	0.3619	12.66
32	33	0.341	0.5302	12.66
2	34	0.0143	0.0357	12.6
34	35	0.0069	0.0018	0.24
35	36	0.0069	0.0018	0.24
36	37	0.0069	0.0018	0.24
37	38	0.0069	0.0018	0.24
38	39	0.0069	0.0018	0.24
39	40	0.0069	0.0018	0.24
35	41	0.011	0.0017	0.24
36	42	0.011	0.0017	0.24
37	43	0.011	0.0017	0.24
38	44	0.011	0.0017	0.24
39	45	0.011	0.0017	0.24
40	46	0.011	0.0017	0.24
35	47	0.011	0.0017	0.24
36	48	0.011	0.0017	0.24
37	49	0.011	0.0017	0.24
38	50	0.011	0.0017	0.24
39	51	0.011	0.0017	0.24
40	52	0.011	0.0017	0.24
3	53	0.0143	0.0357	12.6
53	54	0.0069	0.0018	0.24
54	55	0.0069	0.0018	0.24
55	56	0.0069	0.0018	0.24
56	57	0.0069	0.0018	0.24
57	58	0.0069	0.0018	0.24
54	59	0.011	0.0017	0.24
55	60	0.011	0.0017	0.24
56	61	0.011	0.0017	0.24
57	62	0.011	0.0017	0.24
58	63	0.011	0.0017	0.24
